osmid;x;y;highway
56244474;-86.803186;33.494317;
56244477;-86.803211;33.493585;
56244479;-86.80322;33.492393;
56244481;-86.803223;33.491532;
56244482;-86.803217;33.491045;
56244484;-86.803229;33.490723;
56244486;-86.803501;33.490307;
56244498;-86.812244;33.507845;
56244500;-86.8116093;33.5069142;
56244502;-86.8109977;33.5060081;
56244506;-86.810382;33.505096;
56244511;-86.809769;33.504195;
56244515;-86.8090007;33.503048;
56244517;-86.80822;33.501896;
56244519;-86.80749;33.500824;
56244520;-86.807402;33.500695;
56244523;-86.80558;33.498021;
56244526;-86.8046435;33.4966365;
56244534;-86.803957;33.49494;
56244537;-86.8038273;33.4945416;
56244544;-86.804236;33.4947;
56244547;-86.802928;33.49046;
56244551;-86.7925616;33.4951799;
56244555;-86.7930164;33.494488;
56244572;-86.793482;33.489686;
56244575;-86.793157;33.488753;
56244583;-86.796354;33.503428;
56244584;-86.7958027;33.5026402;
56244588;-86.7953624;33.5019777;
56244591;-86.7945865;33.5008363;traffic_signals
56244595;-86.7939092;33.4998461;
56244601;-86.7932323;33.4988354;
56244606;-86.7929219;33.498379;
56244608;-86.7925736;33.4978315;
56244611;-86.7925412;33.4976005;
56244614;-86.7925773;33.496573;
56244616;-86.7925583;33.4960681;
56244628;-86.801867;33.511544;
56244635;-86.8012492;33.5106458;
56244642;-86.800626;33.509732;
56244647;-86.800015;33.508832;
56244650;-86.799238;33.507685;
56244658;-86.798464;33.506523;
56244662;-86.79769;33.505395;
56244666;-86.797253;33.504748;
56244667;-86.796621;33.503814;
56244685;-86.863825;33.531816;
56244698;-86.862309;33.532296;
56244699;-86.862256;33.53219;
56244750;-86.8445504;33.4998377;
56244764;-86.845824;33.500287;
56244790;-86.867232;33.459766;
56244792;-86.867429;33.459398;
56244800;-86.866811;33.45861;
56244808;-86.866036;33.457586;
56244812;-86.866092;33.456691;
56244816;-86.86809;33.454907;
56245026;-86.8786251;33.510607;
56245028;-86.8783132;33.510777;
56245040;-86.874757;33.512497;motorway_junction
56245050;-86.876367;33.510489;
56245055;-86.876483;33.51079;
56245060;-86.874458;33.512411;
56245234;-86.8019398;33.5272993;motorway_junction
56245357;-86.78287;33.48431;
56245374;-86.776739;33.484305;
56245375;-86.774531;33.484868;
56245380;-86.774391;33.485134;
56245413;-86.8158335;33.4997768;
56245430;-86.8146306;33.5015858;motorway_junction
56245643;-86.659032;33.594004;motorway_junction
56245772;-86.65976;33.5891072;
56245789;-86.774703;33.571463;
56245792;-86.775704;33.571936;
56245833;-86.81717;33.471553;
56245839;-86.817495;33.471159;
56245847;-86.818826;33.470028;
56245852;-86.819747;33.469189;
56245865;-86.818279;33.469656;
56245872;-86.817662;33.469932;
56245892;-86.814751;33.471252;
56245897;-86.818008;33.469453;traffic_signals
56245898;-86.81811;33.469531;traffic_signals
56245950;-86.902736;33.472035;
56246115;-86.817515;33.538034;
56246170;-86.84562;33.521679;
56246176;-86.840854;33.5216184;
56246451;-86.895931;33.453818;
56246479;-86.8959;33.452947;
56246512;-86.723077;33.5703739;
56246902;-86.849448;33.529912;
56246908;-86.850496;33.529187;
56247206;-86.8276361;33.4451208;
56247234;-86.841285;33.443288;
56247235;-86.841398;33.443255;
56247237;-86.841851;33.443168;
56247238;-86.842305;33.443171;
56247391;-86.8012109;33.5332937;
56247665;-86.8312119;33.5198477;motorway_junction
56247970;-86.90372;33.479048;
56248005;-86.900748;33.479545;
56248019;-86.899773;33.479861;
56248027;-86.897722;33.482577;
56248392;-86.727319;33.560323;
56248436;-86.69461;33.450794;
56248630;-86.6424309;33.5807588;
56248727;-86.701918;33.5847488;
56248729;-86.6972601;33.586817;
56248820;-86.916062;33.518348;
56248821;-86.915942;33.51829;
56248886;-86.926197;33.52717;
56248897;-86.924602;33.527136;
56248908;-86.916266;33.520139;
56248948;-86.808172;33.52356;
56248951;-86.8086266;33.5236739;
56248962;-86.8114715;33.5225041;motorway_junction
56249369;-86.7899821;33.5017641;
56249370;-86.7894156;33.5001857;
56249371;-86.789108;33.498267;motorway_junction
56249374;-86.788962;33.501296;
56249603;-86.834215;33.474898;
56249610;-86.83436;33.476281;
56249614;-86.808961;33.550323;
56249616;-86.808894;33.550083;
56249618;-86.808798;33.549746;
56250122;-86.909292;33.515106;
56250130;-86.915782;33.512805;
56250150;-86.847297;33.510342;
56250154;-86.846282;33.510505;
56250416;-86.726329;33.446306;motorway_junction
56250469;-86.728108;33.440848;traffic_signals
56250489;-86.933756;33.503579;
56250502;-86.930825;33.50379;
56250503;-86.930835;33.503377;
56251048;-86.899936;33.48941;
56251160;-86.619888;33.480611;
56251161;-86.618193;33.479573;
56251223;-86.860852;33.547505;
56251225;-86.860548;33.547247;
56251229;-86.868091;33.544204;
56251230;-86.86811;33.543746;
56251390;-86.8494481;33.5223854;
56251391;-86.850276;33.521576;
56251398;-86.85284;33.520907;
56251508;-86.73561;33.619181;
56251511;-86.734208;33.619393;
56251538;-86.7343934;33.5619769;motorway_junction
56251543;-86.731355;33.5631104;
56251740;-86.72602;33.565979;
56252035;-86.882593;33.508685;
56252041;-86.882967;33.508519;traffic_signals
56252044;-86.883104;33.508453;traffic_signals
56252053;-86.885877;33.507326;traffic_signals
56252055;-86.886028;33.507314;traffic_signals
56252062;-86.887719;33.505733;
56252103;-86.8766699;33.4818705;
56252115;-86.8755509;33.4818455;
56252154;-86.8783069;33.5106179;
56252163;-86.87823;33.510483;
56252315;-86.822892;33.46761;
56252470;-86.821332;33.5366;
56252505;-86.830264;33.521433;
56252719;-86.895942;33.452171;
56252720;-86.896978;33.4512817;
56253085;-86.74292;33.537399;
56253087;-86.742326;33.537602;
56253104;-86.7630121;33.546363;motorway_junction
56253106;-86.7594407;33.5440721;
56253108;-86.7565825;33.5437431;
56253116;-86.848853;33.521653;
56254080;-86.803053;33.533334;
56254139;-86.88097;33.48563;
56254153;-86.816775;33.47556;
56254522;-86.700105;33.587405;
56254529;-86.699303;33.586411;
56254539;-86.690625;33.583632;
56254546;-86.6905522;33.5815183;
56254749;-86.73727;33.642279;
56254766;-86.740326;33.638278;
56254958;-86.7996235;33.521493;motorway_junction
56254964;-86.799395;33.522154;
56255011;-86.899465;33.498697;motorway_junction
56255024;-86.901639;33.498748;
56255043;-86.901951;33.499107;
56256009;-86.783852;33.501223;
56256031;-86.784359;33.501643;
56256069;-86.823554;33.533068;
56256073;-86.785268;33.500633;
56256125;-86.816162;33.530707;
56256143;-86.809509;33.550338;
56256145;-86.808114;33.5503;
56256193;-86.744458;33.54262;
56256805;-86.798231;33.54218;
56256838;-86.823422;33.530872;
56256847;-86.818055;33.529859;
56256851;-86.816919;33.529837;
56256904;-86.7596468;33.5448277;motorway_junction
56256919;-86.7593477;33.5463526;
56257075;-86.930859;33.501674;
56257077;-86.930864;33.501137;
56257829;-86.8507831;33.5298724;traffic_signals
56257833;-86.8506;33.529778;traffic_signals
56257855;-86.855162;33.520183;motorway_junction
56257913;-86.850362;33.519438;
56257921;-86.849957;33.5189;
56258118;-86.821827;33.47524;
56258123;-86.821412;33.474593;
56258275;-86.7918327;33.4951738;
56258290;-86.790391;33.493837;
56258304;-86.7908561;33.4935772;
56258316;-86.791743;33.493326;
56258336;-86.791906;33.492657;
56258654;-86.7829618;33.5464342;motorway_junction
56258667;-86.7804835;33.5498269;
56259116;-86.6308971;33.4964766;
56259513;-86.928779;33.446494;
56259586;-86.87034;33.468832;
56259602;-86.872232;33.468871;
56259608;-86.873203;33.468893;
56259617;-86.87424;33.468919;
56259629;-86.81288;33.560094;
56260090;-86.742608;33.51786;
56260095;-86.743148;33.518365;
56260753;-86.898042;33.450411;
56260930;-86.891794;33.506704;
56260996;-86.893783;33.500608;
56261026;-86.900801;33.499671;
56261056;-86.686736;33.563219;
56261087;-86.704572;33.581148;
56261091;-86.705077;33.581746;
56261179;-86.818141;33.471635;
56261186;-86.819909;33.469996;
56261205;-86.816147;33.469529;
56261890;-86.784731;33.503332;
56261896;-86.784063;33.503192;
56261945;-86.766345;33.546702;
56262057;-86.785073;33.499723;
56262082;-86.785168;33.500107;
56262119;-86.760233;33.547894;
56262150;-86.78215;33.484007;
56262178;-86.739651;33.542885;
56262185;-86.6169251;33.5084545;
56262449;-86.803087;33.541798;
56262468;-86.804273;33.541702;
56262494;-86.790813;33.541742;
56262495;-86.790457;33.541604;
56262562;-86.82722;33.495139;
56262563;-86.826237;33.495628;
56262602;-86.829365;33.494874;
56262609;-86.829987;33.495776;
56262674;-86.893535;33.48059;
56262713;-86.822291;33.529356;
56263132;-86.864313;33.455638;
56263143;-86.850702;33.452187;
56263180;-86.8557996;33.4508254;
56263208;-86.707518;33.630202;
56263219;-86.850937;33.530431;
56263292;-86.843443;33.549242;
56263295;-86.843473;33.55031;
56263650;-86.922467;33.528776;
56264101;-86.820871;33.536006;
56264130;-86.817255;33.534892;
56264208;-86.725327;33.439619;
56264250;-86.846373;33.518842;
56264252;-86.846198;33.519005;
56264258;-86.845595;33.519469;
56264267;-86.846826;33.519193;
56264268;-86.846197;33.519118;
56264405;-86.8742298;33.468455;
56264632;-86.756246;33.536364;
56264634;-86.752906;33.537746;
56264635;-86.752656;33.537846;
56264682;-86.850079;33.529387;
56264864;-86.876072;33.46369;
56264879;-86.876094;33.463393;
56265373;-86.906163;33.500225;
56265378;-86.899839;33.497918;
56265486;-86.701654;33.656938;
56265525;-86.753633;33.544484;
56265544;-86.654315;33.568398;
56265548;-86.654337;33.568856;
56265575;-86.7052175;33.4913427;
56265578;-86.7044956;33.4909747;
56265584;-86.7073722;33.4923539;
56265613;-86.842229;33.4666;
56265617;-86.842028;33.461391;
56265621;-86.822194;33.469047;
56265622;-86.8231314;33.4690439;
56265633;-86.822198;33.46853;
56265642;-86.822201;33.468033;
56265645;-86.822949;33.468033;
56265767;-86.86572;33.506557;
56266014;-86.7910825;33.5087594;
56266028;-86.791909;33.508476;
56266030;-86.791745;33.508253;
56266035;-86.7898064;33.5092434;
56266037;-86.789921;33.509411;
56266041;-86.79005;33.5095899;
56266060;-86.7923559;33.5110807;
56266371;-86.7826116;33.4975075;
56266382;-86.784329;33.495958;
56266391;-86.78403;33.496398;
56266416;-86.782749;33.497096;
56266419;-86.782128;33.497199;
56266457;-86.754728;33.544826;
56266458;-86.753567;33.545493;
56266510;-86.758592;33.528892;
56266511;-86.759407;33.52951;
56266541;-86.780208;33.498368;
56266574;-86.758317;33.539296;
56266577;-86.759186;33.537149;
56266583;-86.804395;33.520663;
56266662;-86.742286;33.542955;
56266772;-86.821398;33.513333;
56266775;-86.8232243;33.5150018;
56266829;-86.806971;33.540757;
56266877;-86.798997;33.541676;
56267032;-86.870086;33.486702;
56267061;-86.887119;33.478527;
56267163;-86.7209634;33.5338274;
56267202;-86.883172;33.484533;
56267418;-86.84235;33.550263;
56267598;-86.85076;33.49577;
56267847;-86.735592;33.619821;
56267872;-86.734808;33.620472;
56267897;-86.736916;33.619741;
56267908;-86.923577;33.501699;
56267924;-86.92214;33.501686;
56267995;-86.803987;33.491028;
56268020;-86.804863;33.490537;
56268145;-86.801663;33.556955;
56268342;-86.8243069;33.5216937;
56268456;-86.819561;33.534506;
56268695;-86.847471;33.519728;
56268700;-86.847907;33.518692;
56268705;-86.845966;33.518538;
56268713;-86.846821;33.517711;
56268885;-86.874219;33.467962;
56269546;-86.753344;33.538565;
56269680;-86.814979;33.519886;
56270106;-86.850634;33.44645;
56270107;-86.851238;33.446454;
56270114;-86.8039383;33.5319926;
56270237;-86.879881;33.509558;motorway_junction
56270256;-86.883306;33.508744;
56270264;-86.874294;33.506829;
56270976;-86.6533949;33.564318;
56271322;-86.699748;33.593125;turning_circle
56272290;-87.112412;33.586319;
56273222;-86.784616;33.494408;
56273450;-86.906931;33.518849;
56273457;-86.906876;33.518592;
56273480;-86.782174;33.497864;
56273501;-86.761368;33.519242;
56273513;-86.759181;33.519255;
56273585;-86.8057753;33.5199984;
56273917;-86.827277;33.483151;
56273919;-86.827182;33.482908;
56273932;-86.827189;33.480548;
56273952;-86.825265;33.484009;
56273954;-86.825191;33.483784;
56273960;-86.826563;33.482059;motorway_junction
56274050;-86.8937876;33.4616394;
56274323;-86.791969;33.540332;
56274327;-86.79224;33.540106;
56274367;-86.822274;33.493696;
56274658;-86.81789;33.483493;
56274828;-86.827653;33.483038;
56274960;-86.796225;33.536551;
56275233;-86.850623;33.492739;
56275380;-86.700817;33.5848713;motorway_junction
56275382;-86.6971337;33.585456;
56275624;-86.695735;33.595155;
56275630;-86.695027;33.59474;
56275882;-86.903859;33.495483;
56275884;-86.903857;33.494447;
56275911;-86.88531;33.502072;
56275991;-86.878666;33.502431;
56276065;-86.830618;33.443159;
56276076;-86.831046;33.443129;
56276082;-86.871976;33.503751;
56276088;-86.87195;33.500891;
56276094;-86.87003;33.502223;
56276122;-86.841418;33.443106;
56276124;-86.841304;33.443097;
56276215;-86.7345087;33.5621867;
56276221;-86.732674;33.564015;
56276250;-86.921905;33.525247;
56276267;-86.921884;33.5277;
56276271;-86.800279;33.5217888;
56276280;-86.7998564;33.5219909;
56276314;-86.8005966;33.5253212;
56276679;-86.6458176;33.5889065;motorway_junction
56276753;-86.646917;33.594178;
56276844;-86.646997;33.594026;
56276869;-86.846774;33.501519;
56276921;-86.847893;33.517235;
56276923;-86.847891;33.516568;
56276932;-86.847874;33.515968;
56276936;-86.832499;33.488107;
56277398;-86.649275;33.563076;
56277761;-86.891949;33.486466;
56277865;-86.868392;33.502667;
56277917;-86.758469;33.53606;
56277918;-86.756607;33.536921;
56278109;-86.73213;33.534601;
56278347;-86.8540647;33.4445428;turning_circle
56278349;-86.8561935;33.4445249;
56278378;-86.867282;33.4391073;
56278380;-86.8672533;33.4388797;
56278649;-86.892086;33.500552;
56278701;-86.880354;33.499442;
56278891;-86.813615;33.542261;
56278911;-86.689175;33.608562;
