u;v;oneway;highway;name;length;maxspeed
628244216;628244217;True;motorway;;76.224;45 mph
628244286;628244216;True;motorway;;458.72;45 mph
56452245;628244286;True;motorway;;471.289;45 mph
56454107;628244277;True;motorway;;493.49;45 mph
628244217;968050963;True;motorway;;511.444;45 mph
628244277;56265525;True;motorway;;701.434;45 mph
968204412;56452389;True;motorway;;41.722;50 mph
967433681;968204471;True;motorway;;128.927;50 mph
968204569;1775969596;True;motorway;;136.456;50 mph
1775969749;342003265;True;motorway;;136.634;50 mph
342004791;56463585;True;motorway;;145.019;50 mph
968204449;968204563;True;motorway;;164.92;50 mph
342003476;56464161;True;motorway;;219.245;50 mph
1775969981;56463596;True;motorway;;246.193;50 mph
56454280;56454297;True;motorway;;248.201;50 mph
56247665;1775970100;True;motorway;;261.873;50 mph
56454297;56454303;True;motorway;;281.439;50 mph
1775969596;968204574;True;motorway;;305.956;50 mph
968204523;56454280;True;motorway;;307.921;50 mph
56248962;968204567;True;motorway;;326.22;50 mph
56452389;968204449;True;motorway;;342.802;50 mph
503815009;56304127;True;motorway;;412.768;50 mph
56266775;342004791;True;motorway;;416.524;50 mph
56268342;967433681;True;motorway;;435.24;50 mph
1775970100;56268342;True;motorway;;445.551;50 mph
56464161;1775969981;True;motorway;;461.203;50 mph
968050880;56454107;True;motorway;;478.339;50 mph
56314497;967052389;True;motorway;;480.598;50 mph
968204574;968204517;True;motorway;;482.74;50 mph
56463585;1775969749;True;motorway;;496.142;50 mph
342003265;56295702;True;motorway;;505.792;50 mph
967433680;342003476;True;motorway;;524.393;50 mph
56304127;56314497;True;motorway;;527.826;50 mph
968204567;968204412;True;motorway;;556.264;50 mph
56454303;967433614;True;motorway;;572.325;50 mph
968204563;56452353;True;motorway;;601.82;50 mph
56454219;968204569;True;motorway;;711.139;50 mph
968204471;56248962;True;motorway;;744.268;50 mph
968204517;968204523;True;motorway;;798.052;50 mph
967052389;56266775;True;motorway;;864.54;50 mph
56283732;56247665;True;motorway;;1374.512;50 mph
465145765;56454219;True;motorway;;1702.692;50 mph
56452353;56258654;True;motorway;;1777.262;50 mph
1775969598;1775969667;True;motorway;Red Mountain Expressway;30.354;55 mph
4460572238;485002129;True;motorway;Red Mountain Expressway;175.429;55 mph
56266060;4460572238;True;motorway;Red Mountain Expressway;185.579;55 mph
4460578842;485002657;True;motorway;Red Mountain Expressway;191.553;55 mph
485002657;4460391673;True;motorway;Red Mountain Expressway;198.958;55 mph
466959466;56254958;True;motorway;Red Mountain Expressway;305.392;55 mph
618260722;466959466;True;motorway;Red Mountain Expressway;330.66;55 mph
4460391673;56266014;True;motorway;Red Mountain Expressway;334.456;55 mph
485002129;618260722;True;motorway;Red Mountain Expressway;346.207;55 mph
4460387285;56266060;True;motorway;Red Mountain Expressway;364.261;55 mph
465169469;466959460;True;motorway;Red Mountain Expressway;391.973;55 mph
56298056;56249371;True;motorway;Red Mountain Expressway;527.617;55 mph
1775969667;465169469;True;motorway;Red Mountain Expressway;579.112;55 mph
466959460;4460578842;True;motorway;Red Mountain Expressway;599.911;55 mph
3973001537;56298056;True;motorway;Red Mountain Expressway;622.215;55 mph
56618695;502810201;True;motorway;Red Mountain Expressway;675.132;55 mph
56249370;56618695;True;motorway;Red Mountain Expressway;692.343;55 mph
56254958;1849855511;True;motorway;Red Mountain Expressway;705.044;55 mph
56266014;56249370;True;motorway;Red Mountain Expressway;972.798;55 mph
56249371;4460387285;True;motorway;Red Mountain Expressway;1113.498;55 mph
967433614;56452448;True;motorway;;157.593;60 mph
56464231;56464242;True;motorway;;235.158;60 mph
480593251;56302339;True;motorway;;239.678;60 mph
56253108;56452245;True;motorway;;252.519;60 mph
56463486;56463499;True;motorway;;273.379;60 mph
56463596;56318388;True;motorway;;312.966;60 mph
56463625;56245430;True;motorway;;333.876;60 mph
56256904;465133697;True;motorway;;338.394;60 mph
56293011;56283732;True;motorway;;369.702;60 mph
628244200;56265525;True;motorway;;417.629;60 mph
967052409;56463625;True;motorway;;492.894;60 mph
56257855;56293011;True;motorway;;495.459;60 mph
1226946411;1226947433;True;motorway;;506.239;60 mph
967433665;56302384;True;motorway;;510.102;60 mph
4259341159;967433384;True;motorway;;514.699;60 mph
56312665;4259341159;True;motorway;;535.709;60 mph
56245040;56270237;True;motorway;;577.407;60 mph
56302384;56302391;True;motorway;;578.253;60 mph
56273960;56284349;True;motorway;;579.424;60 mph
56265525;56256904;True;motorway;;584.26;60 mph
480593165;480593251;True;motorway;;587.581;60 mph
56756395;56276215;True;motorway;;588.331;60 mph
56296762;56245060;True;motorway;;609.311;60 mph
56300239;56273932;True;motorway;;635.192;60 mph
56275380;56281446;True;motorway;;659.577;60 mph
480593350;56453286;True;motorway;;669.172;60 mph
56253104;56253108;True;motorway;;672.694;60 mph
56245430;56304154;True;motorway;;702.246;60 mph
968204553;56251398;True;motorway;;722.107;60 mph
56453286;480593180;True;motorway;;777.643;60 mph
56756374;56756395;True;motorway;;838.503;60 mph
56270237;56252062;True;motorway;;842.058;60 mph
56463499;967433665;True;motorway;;845.694;60 mph
56290397;56248727;True;motorway;;848.942;60 mph
56318388;967052409;True;motorway;;861.256;60 mph
56248727;56290407;True;motorway;;866.173;60 mph
56258654;465145627;True;motorway;;875.982;60 mph
56452245;628244247;True;motorway;;893.661;60 mph
56454178;465145765;True;motorway;;904.824;60 mph
967433384;56464231;True;motorway;;953.295;60 mph
4255168847;56463486;True;motorway;;962.886;60 mph
56251538;1226946411;True;motorway;;965.206;60 mph
56306102;56301447;True;motorway;;1002.763;60 mph
56301447;56296762;True;motorway;;1045.624;60 mph
56316140;56275380;True;motorway;;1046.566;60 mph
56464242;56464247;True;motorway;;1066.574;60 mph
56302391;967433680;True;motorway;;1099.941;60 mph
56295702;56312665;True;motorway;;1167.921;60 mph
465145627;56253104;True;motorway;;1181.87;60 mph
465133697;56454178;True;motorway;;1217.809;60 mph
56452448;968204553;True;motorway;;1313.108;60 mph
56252062;56255011;True;motorway;;1350.201;60 mph
56304154;56300239;True;motorway;;1377.171;60 mph
56284349;503815009;True;motorway;;1379.239;60 mph
968050963;480593350;True;motorway;;1462.02;60 mph
1226947433;56316140;True;motorway;;1565.678;60 mph
56290407;56756374;True;motorway;;1692.871;60 mph
628244247;56251538;True;motorway;;1853.202;60 mph
56245060;56257855;True;motorway;;2007.392;60 mph
56302339;968050880;True;motorway;;2095.678;60 mph
56251398;56245040;True;motorway;;2261.67;60 mph
56276215;628244200;True;motorway;;2289.289;60 mph
56281446;56245643;True;motorway;;3559.288;60 mph
1716984990;56290397;True;motorway;;3821.718;60 mph
1849855184;371302213;True;motorway;;465.847;70 mph
371306896;371303434;True;motorway;;1710.33;70 mph
628244200;628244216;True;motorway_link;;898.787;45 mph
56318131;1226947272;True;motorway_link;;8.802;55 mph
1226946137;56253106;True;motorway_link;;9.154;55 mph
1226947158;465102259;True;motorway_link;;9.21;55 mph
56435396;56273917;True;motorway_link;;11.256;55 mph
968050877;968050946;True;motorway_link;;12.807;55 mph
1838367588;56797322;True;motorway_link;;12.842;55 mph
56273952;56284335;True;motorway_link;;13.9;55 mph
56320794;968204538;True;motorway_link;;15.716;55 mph
56284731;56284737;True;motorway_link;;16.775;55 mph
56252154;56252163;True;motorway_link;;17.379;55 mph
56318852;56318854;True;motorway_link;;17.468;55 mph
56245028;56252154;True;motorway_link;;17.701;55 mph
628244232;628244254;True;motorway_link;;17.709;55 mph
56747125;3756713796;True;motorway_link;;17.79;55 mph
56250469;479706814;True;motorway_link;;21.089;55 mph
967451874;56318256;True;motorway_link;;21.343;55 mph
56266035;56266037;True;motorway_link;;21.452;55 mph
56252055;647387241;True;motorway_link;;21.981;55 mph
968204464;968204508;True;motorway_link;;23.084;55 mph
56266037;56266041;True;motorway_link;;23.213;55 mph
479706833;1849855185;True;motorway_link;;23.702;55 mph
466959461;56316999;True;motorway_link;;24.1;55 mph
56747125;56520144;True;motorway_link;;24.181;55 mph
56273954;56273952;True;motorway_link;;26.486;55 mph
1226946745;1226946218;True;motorway_link;;27.346;55 mph
56296798;56296785;True;motorway_link;;27.439;55 mph
56273917;56273919;True;motorway_link;;28.421;55 mph
1868058015;465145747;True;motorway_link;;28.901;55 mph
618255454;56266037;True;motorway_link;;28.902;55 mph
56266030;56266028;True;motorway_link;;29.087;55 mph
56520146;56318854;True;motorway_link;;29.109;55 mph
56300245;56435396;True;motorway_link;;30.001;55 mph
56248951;968204593;True;motorway_link;;30.754;55 mph
479452507;479452497;True;motorway_link;;31.55;55 mph
56304182;56304167;True;motorway_link;;31.932;55 mph
1840073253;56301451;True;motorway_link;;33.57;55 mph
967451877;611729094;True;motorway_link;;33.686;55 mph
605175129;1234833217;True;motorway_link;;33.748;55 mph
56245028;56245026;True;motorway_link;;34.547;55 mph
968204611;968204507;True;motorway_link;;35.128;55 mph
465145755;618261651;True;motorway_link;;35.412;55 mph
56317748;56296785;True;motorway_link;;35.743;55 mph
1840073253;1840073248;True;motorway_link;;35.872;55 mph
479452579;479452159;True;motorway_link;;37.003;55 mph
1849855461;56249374;True;motorway_link;;37.717;55 mph
1765678751;1765678741;True;motorway_link;;37.781;55 mph
56318256;56304167;True;motorway_link;;37.809;55 mph
56245050;56245055;True;motorway_link;;37.825;55 mph
465145743;1868058015;True;motorway_link;;39.25;55 mph
56252035;56252041;True;motorway_link;;39.282;55 mph
611729095;611729094;True;motorway_link;;39.563;55 mph
504810174;504810173;True;motorway_link;;39.582;55 mph
967433351;612872793;True;motorway_link;;39.657;55 mph
968050946;968050933;True;motorway_link;;40.809;55 mph
967433409;967433653;True;motorway_link;;41.114;55 mph
56553997;56266041;True;motorway_link;;41.368;55 mph
465164598;465164595;True;motorway_link;;41.706;55 mph
479452321;479452507;True;motorway_link;;41.857;55 mph
56614108;967451877;True;motorway_link;;41.86;55 mph
1775969998;1775969667;True;motorway_link;;42.119;55 mph
967451860;967451877;True;motorway_link;;42.185;55 mph
56265584;479452497;True;motorway_link;;43.84;55 mph
56253106;465133729;True;motorway_link;;43.864;55 mph
1849855461;56536190;True;motorway_link;;44.634;55 mph
479452099;479452579;True;motorway_link;;44.992;55 mph
628244254;628244259;True;motorway_link;;45.173;55 mph
479707771;56250469;True;motorway_link;;45.215;55 mph
56295580;56245055;True;motorway_link;;45.453;55 mph
618261651;56318700;True;motorway_link;;46.613;55 mph
56274828;56273919;True;motorway_link;;46.956;55 mph
56253116;1838367588;True;motorway_link;;47.334;55 mph
479452321;56265584;True;motorway_link;;47.671;55 mph
465145743;1868045012;True;motorway_link;;47.767;55 mph
56276280;56254964;True;motorway_link;;47.856;55 mph
56248951;56248948;True;motorway_link;;48.091;55 mph
56258667;465145743;True;motorway_link;;48.127;55 mph
56255024;56301113;True;motorway_link;;50.662;55 mph
56265575;479452159;True;motorway_link;;50.705;55 mph
56316989;466959473;True;motorway_link;;50.89;55 mph
1765678706;1765678743;True;motorway_link;;51.194;55 mph
56255024;56255043;True;motorway_link;;51.527;55 mph
56284335;56284339;True;motorway_link;;51.549;55 mph
56284737;1226946764;True;motorway_link;;51.745;55 mph
1849855465;1849855464;True;motorway_link;;51.911;55 mph
56249369;1849855464;True;motorway_link;;51.984;55 mph
504810165;504810174;True;motorway_link;;52.225;55 mph
56300245;56300249;True;motorway_link;;52.512;55 mph
56321370;466961909;True;motorway_link;;53.033;55 mph
465133710;1226946137;True;motorway_link;;53.584;55 mph
56276753;56320682;True;motorway_link;;54.319;55 mph
968050947;480593282;True;motorway_link;;55.177;55 mph
968204421;968204507;True;motorway_link;;55.734;55 mph
504810193;504810201;True;motorway_link;;56.334;55 mph
56289807;967433657;True;motorway_link;;58.193;55 mph
479452099;56265575;True;motorway_link;;60.151;55 mph
465169108;465164595;True;motorway_link;;60.764;55 mph
968050907;56302854;True;motorway_link;;61.158;55 mph
465164662;56572987;True;motorway_link;;61.317;55 mph
56415752;56276844;True;motorway_link;;62.953;55 mph
968050907;968050863;True;motorway_link;;63.127;55 mph
504810201;504810200;True;motorway_link;;63.589;55 mph
968204385;968204611;True;motorway_link;;65.479;55 mph
56253116;968204510;True;motorway_link;;65.488;55 mph
56316989;466959461;True;motorway_link;;65.543;55 mph
465164662;56476880;True;motorway_link;;66.746;55 mph
56273954;56435368;True;motorway_link;;66.765;55 mph
1765678763;1765678741;True;motorway_link;;66.813;55 mph
56318696;56318700;True;motorway_link;;67.18;55 mph
968204410;968204464;True;motorway_link;;67.35;55 mph
56252035;56270256;True;motorway_link;;67.439;55 mph
485002784;56266028;True;motorway_link;;67.838;55 mph
968257009;647387241;True;motorway_link;;69.91;55 mph
56797322;56251391;True;motorway_link;;72.41;55 mph
967433354;967433399;True;motorway_link;;73.111;55 mph
466959461;56782258;True;motorway_link;;73.357;55 mph
56313200;56306092;True;motorway_link;;73.399;55 mph
967433351;967433363;True;motorway_link;;74.161;55 mph
967433603;967433399;True;motorway_link;;74.336;55 mph
56256919;1226947158;True;motorway_link;;74.515;55 mph
605175128;605175129;True;motorway_link;;75.443;55 mph
465133610;465133729;True;motorway_link;;75.488;55 mph
56682361;504810173;True;motorway_link;;76.605;55 mph
968204606;968204508;True;motorway_link;;76.686;55 mph
605175140;1234833217;True;motorway_link;;76.846;55 mph
1765678706;1765678763;True;motorway_link;;76.863;55 mph
504810165;56682361;True;motorway_link;;77.828;55 mph
