route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
2,1004,t10A6-sl1004-pB-r1,"Oporto Way",0,11701,11_shp
2,1004,t10A8-sl1004-pB37-r1,"Central Station",1,11701,2871_shp
2,1004,t10A9-sl1004-pB51-r1,"Oporto Way",0,11701,2897_shp
2,1004,t10AA-sl1004-pB38-r1,"Central Station",1,11701,2872_shp
2,1004,t1315-sl1004-p9-r1,"Central Station",1,11701,9_shp
2,1004,t1316-sl1004-pB50-r1,"Oporto Way",0,11701,2896_shp
2,1004,t1317-sl1004-pB52-r1,"Oporto Way",0,11701,2898_shp
2,1004,t1318-sl1004-pB39-r1,"Central Station",1,11701,2873_shp
2,1004,t1319-sl1004-pB53-r1,"Oporto Way",0,11701,2899_shp
2,1004,t131A-sl1004-pB3A-r1,"Central Station",1,11701,2874_shp
2,1004,t131B-sl1004-pB54-r1,"Oporto Way",0,11701,2900_shp
2,1004,t131C-sl1004-pB3B-r1,"Central Station",1,11701,2875_shp
2,1004,t131D-sl1004-pB55-r1,"Oporto Way",0,11701,2901_shp
2,1004,t131E-sl1004-pB3C-r1,"Central Station",1,11701,2876_shp
2,1004,t131F-sl1004-pB56-r1,"Oporto Way",0,11701,2902_shp
2,1004,t1320-sl1004-pB3D-r1,"Central Station",1,11701,2877_shp
2,1004,t1321-sl1004-pB57-r1,"Oporto Way",0,11701,2903_shp
2,1004,t1322-sl1004-pB3E-r1,"Central Station",1,11701,2878_shp
2,1004,t1323-sl1004-p10FA-r1,,0,11701,4346_shp
2,1004,t1324-sl1004-pB58-r2,"Oporto Way",0,11702,2904_shp
2,1004,t1325-sl1004-pB3F-r2,"Central Station",1,11702,2879_shp
2,1004,t1326-sl1004-pB59-r2,"Oporto Way",0,11702,2905_shp
2,1004,t1327-sl1004-pB40-r2,"Central Station",1,11702,2880_shp
2,1004,t1328-sl1004-pB5A-r2,"Oporto Way",0,11702,2906_shp
2,1004,t1329-sl1004-pB41-r2,"Central Station",1,11702,2881_shp
2,1004,t132A-sl1004-pB5B-r2,"Oporto Way",0,11702,2907_shp
2,1004,t132B-sl1004-pB42-r2,"Central Station",1,11702,2882_shp
2,1004,t132C-sl1004-pB5D-r2,"Oporto Way",0,11702,2909_shp
2,1004,t132D-sl1004-pB44-r2,"Central Station",1,11702,2884_shp
2,1004,t132E-sl1004-pB5E-r2,"Oporto Way",0,11702,2910_shp
2,1004,t132F-sl1004-pB45-r2,"Central Station",1,11702,2885_shp
2,1004,t1330-sl1004-pB5F-r2,"Oporto Way",0,11702,2911_shp
2,1004,t1331-sl1004-pB46-r2,"Central Station",1,11702,2886_shp
2,1004,t1332-sl1004-pB60-r2,"Oporto Way",0,11702,2912_shp
2,1004,t1333-sl1004-pB47-r2,"Central Station",1,11702,2887_shp
2,1004,t53-sl1004-pB5C-r2,"Oporto Way",0,11702,2908_shp
2,1004,t842-sl1004-pB43-r2,"Central Station",1,11702,2883_shp
